"English.title","Runtime","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Avengers: Infinity War",149,"321000000",7.872,148115,8.50615,615540
"Solo: A Star Wars Story",135,"275000000",6.924,47967,7.00215,215300
"Incredibles 2",118,"200000000",7.376,44149,7.70192,192080
"Fantastic Beasts: The Crimes of Grindelwald",134,"200000000",6.615,84111,6.70149,149361
"Black Panther",134,"200000000",6.474,95190,7.30489,489669
"Mission: Impossible - Fallout",147,"178000000",7.186,50025,7.80223,223898
"Ready Player One",140,"175000000",7.412,110981,7.50291,291209
"Ralph Breaks the Internet",111,"175000000",7.1,28123,7.1074,74756
"Jurassic World: Fallen Kingdom",128,"170000000",6.163,46716,6.20209,209152
"Ant-Man and the Wasp",118,"162000000",6.945,64820,7.10216,216833
"Aquaman",143,"160000000",6.902,74677,7.20223,223633
"The Meg",113,"130000000",5.894,29900,5.70104,104298
"Pacific Rim: Uprising",110,"150000000",5.738,31875,5.6086,86194
"Bumblebee",114,"135000000",6.556,25722,6.9075,75469
"Mary Poppins Returns",130,"130000000",6.594,7460,7.0043,43758
"Skyscraper",103,"125000000",6.061,25765,5.8076,76267
"Rampage",107,"120000000",6.161,28741,6.10111,111284
"The Nutcracker and the Four Realms",99,"120000000",5.691,9706,5.5016,16829
"Deadpool 2",119,"110000000",7.384,114973,7.8037,370480
"A Wrinkle in Time",109,"103000000",4.619,10907,4.2033,33933
"Venom",112,"100000000",6.806,111883,6.80255,255557
"Mortal Engines",128,"100000000",6.221,37141,6.2058,58687
"Robin Hood",116,"100000000",5.612,15975,5.3036,36384
"Tomb Raider",118,"94000000",6.115,44513,6.30157,157975
"Spider-Man: Into the Spider-Verse",117,"90000000",8.025,54198,8.50171,171417
"The Predator",107,"88000000",5.618,34300,5.4088,88277
"Hotel Transylvania 3: Summer Vacation",97,"80000000",6.592,22870,6.3039,39705
"Christopher Robin",104,"75000000",7.395,24980,7.3048,48224
"Mamma Mia! Here We Go Again",114,"75000000",6.925,12406,6.8055,55771
"The Grinch",86,"75000000",6.754,15599,6.3027,27511
"Xi you ji nu er guo",116,"73000000",5.584,141,5.50927,927
"Ocean's Eight",110,"70000000",6.506,45479,6.20135,135925
"Hong hai xing dong",138,"70000000",6.463,585,6.804,4335
"Red Sparrow",140,"69000000",5.448,38937,6.60132,132444
"The Equalizer 2",121,"62000000",6.572,23940,6.7089,89686
"Maze Runner: The Death Cure",143,"62000000",5.984,31482,6.2088,88156
"First Man",141,"59000000",7.093,30667,7.40111,111263
"Sherlock Gnomes",87,"59000000",5.77,2241,5.107,7622
"Fifty Shades Freed",105,"55000000",5.314,24280,4.5042,42326
"Bohemian Rhapsody",134,"52000000",7.992,123724,8.10318,318678
"Alpha",96,"51000000",6.578,23931,6.7038,38425
"Peter Rabbit",95,"50000000",6.804,12662,6.6026,26830
"Creed II",130,"50000000",6.693,10370,7.3063,63388
"Early Man",89,"50000000",6.388,3094,6.1015,15310
"Mile 22",94,"50000000",5.816,9434,6.1044,44630
"Instant Family",118,"48000000",7.369,10566,7.4037,37274
"The Girl in the Spider's Web",117,"43000000",5.858,10864,6.1024,24720
"Widows",129,"42000000",6.287,12494,7.0055,55390
"The House with a Clock in Its Walls",105,"42000000",5.902,13481,6.103,30511
"Holmes & Watson",90,"42000000",4.665,2343,3.7012,12929
"The Spy Who Dumped Me",117,"40000000",5.848,14954,6.0044,44303
"Hunter Killer",122,"40000000",5.838,5985,6.603,30173
